trip_id,driver_id,rider_id,city,distance_km,fare_amount,status,payment_method,pickup_time,pickup_date,pickup_hour,pickup_day,time_of_day,trip_duration_mins,fare_per_km,day_type,fare_tier
1,8270,10683,San Francisco,2.97,10.71,Completed,Wallet,2023-01-01 00:00:00,2023-01-01,0,Sunday,Night (0-6),8.92,3.6061,Weekend,Budget
2,1860,44743,Boston,8.43,22.41,Completed,UPI,2023-01-01 00:01:00,2023-01-01,0,Sunday,Night (0-6),25.28,2.6584,Weekend,Premium
3,6390,75839,San Francisco,5.46,12.91,Completed,Cash,2023-01-01 00:02:00,2023-01-01,0,Sunday,Night (0-6),16.38,2.3645,Weekend,Budget
4,6191,22189,New York,6.61,15.7,Completed,Wallet,2023-01-01 00:03:00,2023-01-01,0,Sunday,Night (0-6),19.83,2.3752,Weekend,Standard
5,6734,61104,Seattle,10.5,19.15,Completed,Wallet,2023-01-01 00:04:00,2023-01-01,0,Sunday,Night (0-6),31.5,1.8238,Weekend,Premium
6,7265,84988,San Francisco,9.94,19.95,Completed,Card,2023-01-01 00:05:00,2023-01-01,0,Sunday,Night (0-6),29.82,2.007,Weekend,Premium
7,1466,82933,San Francisco,12.22,25.89,Completed,UPI,2023-01-01 00:06:00,2023-01-01,0,Sunday,Night (0-6),36.67,2.1187,Weekend,Premium
8,5426,60182,Chicago,10.14,25.55,Completed,Cash,2023-01-01 00:07:00,2023-01-01,0,Sunday,Night (0-6),30.42,2.5197,Weekend,Premium
9,6578,15826,San Francisco,1.88,7.97,Completed,Cash,2023-01-01 00:08:00,2023-01-01,0,Sunday,Night (0-6),5.63,4.2394,Weekend,Budget
10,9322,63503,Boston,3.7,12.21,No-Show,UPI,2023-01-01 00:09:00,2023-01-01,0,Sunday,Night (0-6),11.1,3.3,Weekend,Budget
11,2685,19386,Los Angeles,7.5,13.99,Completed,Cash,2023-01-01 00:10:00,2023-01-01,0,Sunday,Night (0-6),22.5,1.8653,Weekend,Standard
12,1769,54319,Boston,5.64,11.38,Completed,Card,2023-01-01 00:11:00,2023-01-01,0,Sunday,Night (0-6),16.92,2.0177,Weekend,Budget
13,7949,83961,Boston,1.6,4.93,Completed,UPI,2023-01-01 00:12:00,2023-01-01,0,Sunday,Night (0-6),4.8,3.0812,Weekend,Budget
14,3433,21112,Los Angeles,7.13,15.22,Completed,Cash,2023-01-01 00:13:00,2023-01-01,0,Sunday,Night (0-6),21.38,2.1346,Weekend,Standard
